what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1382077234795
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1382077234826
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1382077234858
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1382077234858
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1382077234889
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1382077234905
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1382077234920
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1382077234936
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1382077234936
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1382077234936
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1382077234951
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1382077234967
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1382077234967
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1382077234967
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1382077234983
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1382077235045
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1382077235045
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1382077235076
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1382077235076
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1382077235076
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1382077235076
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1382077235076
os,sysinfo,,,"win32",1382077235092
arch,sysinfo,,,"x86",1382077235092
ws,sysinfo,,,"win32",1382077235092
locale,sysinfo,,,"en_US",1382077235092
processors,sysinfo,,,"4",1382077235092
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382077235092
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1382077235092
java.specification.name,sysinfo,,,"Java Platform API Specification",1382077235092
java.specification.vendor,sysinfo,,,"Oracle Corporation",1382077235092
java.specification.version,sysinfo,,,"1.7",1382077235092
java.vendor,sysinfo,,,"Oracle Corporation",1382077235092
java.version,sysinfo,,,"1.7.0_25",1382077235092
java.vm.info,sysinfo,,,"mixed mode, sharing",1382077235092
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382077235092
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382077235092
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1382077235092
java.vm.specification.version,sysinfo,,,"1.7",1382077235092
java.vm.vendor,sysinfo,,,"Oracle Corporation",1382077235092
java.vm.version,sysinfo,,,"23.25-b01",1382077235092
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1382077235139
started,bundle,com.android.ide.eclipse.base,22.2.1.v201309180102-833290,"com.android.ide.eclipse.base",1382077235217
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1382077236155
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1382077236920
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1382077237639
started,bundle,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.adt",1382077238092
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1382077238248
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1382077238577
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1382077238577
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1382077238967
